
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0         20 K
Registry                       108 Services                   0     93,372 K
smss.exe                       464 Services                   0        184 K
csrss.exe                      680 Services                   0      2,620 K
wininit.exe                    760 Services                   0      1,136 K
services.exe                   840 Services                   0      8,652 K
lsass.exe                      892 Services                   0     14,940 K
svchost.exe                    608 Services                   0     29,968 K
fontdrvhost.exe                628 Services                   0        432 K
WUDFHost.exe                   952 Services                   0      7,268 K
svchost.exe                   1100 Services                   0     18,348 K
svchost.exe                   1148 Services                   0      4,632 K
svchost.exe                   1388 Services                   0      2,404 K
svchost.exe                   1420 Services                   0      6,164 K
svchost.exe                   1440 Services                   0      5,464 K
svchost.exe                   1484 Services                   0     10,964 K
svchost.exe                   1576 Services                   0      7,320 K
IntelCpHDCPSvc.exe            1588 Services                   0      1,540 K
svchost.exe                   1640 Services                   0      5,916 K
svchost.exe                   1704 Services                   0     13,696 K
svchost.exe                   1752 Services                   0      5,008 K
svchost.exe                   1792 Services                   0      7,200 K
svchost.exe                   1808 Services                   0      2,032 K
IntelCpHeciSvc.exe            1944 Services                   0      2,456 K
svchost.exe                   1992 Services                   0      6,184 K
svchost.exe                    592 Services                   0      6,044 K
svchost.exe                   2052 Services                   0      4,560 K
svchost.exe                   2152 Services                   0     20,196 K
svchost.exe                   2184 Services                   0      7,124 K
igfxCUIService.exe            2196 Services                   0      3,248 K
svchost.exe                   2328 Services                   0      9,992 K
svchost.exe                   2392 Services                   0      6,716 K
svchost.exe                   2400 Services                   0      1,952 K
svchost.exe                   2476 Services                   0      5,816 K
svchost.exe                   2488 Services                   0      5,192 K
svchost.exe                   2564 Services                   0      7,372 K
svchost.exe                   2696 Services                   0      4,204 K
svchost.exe                   2760 Services                   0      6,424 K
svchost.exe                   2820 Services                   0      9,616 K
RtkAudioService64.exe         2900 Services                   0      2,408 K
svchost.exe                   2948 Services                   0     18,100 K
svchost.exe                   2964 Services                   0     10,988 K
svchost.exe                   3048 Services                   0      5,048 K
svchost.exe                   3080 Services                   0      3,484 K
svchost.exe                   3088 Services                   0      5,496 K
svchost.exe                   3276 Services                   0     19,236 K
svchost.exe                   3300 Services                   0     12,864 K
svchost.exe                   3348 Services                   0      6,212 K
svchost.exe                   3388 Services                   0      6,848 K
svchost.exe                   3396 Services                   0      5,196 K
cmcore.exe                    3404 Services                   0      3,088 K
spoolsv.exe                   3868 Services                   0     10,120 K
svchost.exe                   4092 Services                   0      3,108 K
WmiPrvSE.exe                  4184 Services                   0     37,944 K
armsvc.exe                    4244 Services                   0        756 K
HidMonitorSvc.exe             4256 Services                   0      2,948 K
AGMService.exe                4264 Services                   0      2,756 K
svchost.exe                   4272 Services                   0      7,608 K
DellRctlService.exe           4328 Services                   0      2,148 K
svchost.exe                   4352 Services                   0      3,972 K
svchost.exe                   4360 Services                   0     19,444 K
esif_uf.exe                   4388 Services                   0      1,560 K
OneApp.IGCC.WinService.ex     4396 Services                   0     14,372 K
svchost.exe                   4412 Services                   0     51,660 K
svchost.exe                   4436 Services                   0      3,652 K
TPMProvisioningService.ex     4448 Services                   0      1,364 K
MonectServerService.exe       4516 Services                   0      6,896 K
svchost.exe                   4540 Services                   0      4,448 K
svchost.exe                   4600 Services                   0      3,644 K
RemoteSystemMonitorServic     4628 Services                   0      5,352 K
ss_conn_service2.exe          4648 Services                   0      1,336 K
WavesSysSvc64.exe             4688 Services                   0        720 K
MsMpEng.exe                   4708 Services                   0    262,228 K
XtuService.exe                4724 Services                   0      7,608 K
rpcnet.exe                    4732 Services                   0      2,908 K
unsecapp.exe                  4808 Services                   0      2,924 K
svchost.exe                   4816 Services                   0     13,980 K
svchost.exe                   4824 Services                   0      3,988 K
svchost.exe                   4832 Services                   0      2,392 K
svchost.exe                   4948 Services                   0      2,944 K
dasHost.exe                   4960 Services                   0     12,176 K
svchost.exe                   5100 Services                   0      1,552 K
svchost.exe                   5572 Services                   0      6,980 K
svchost.exe                   5580 Services                   0      5,980 K
svchost.exe                   5600 Services                   0      2,660 K
